Section Name/Locality,Paleocontinental Region,Formation/Unit/Basin,Locality No,ModernLAT,ModernLONG,LWK ( 375 Ma) Paleocoordinates (Long),LWK Paleocoordinates (Lat),UKW (370 Ma) Paleocoord (Long),UKW (370 Ma) Paleocoord (LAT),LWK or UKW,Rock type during Kelwasser event,Paleo-environment,Primary Lithology (LWK),Primary lithology(UKW),Primary Facies,LKW Numerical Depth,,Proxy,local/global,LKW redox,Degree of anoxia ,UKW Redox,Degree of anoxia (1-5),Color,Depth range of anoxia,References,DOI,
Libya,Gondwana ,Ghadames Basin,40,30.489,10.774,26.1164,-41.6457,26.1164,-41.6457,UKW,"mostly consist in grey to dark grey, finely laminated and micaceous shales to silty shales ",,N/A,grey shale,basin,5,5.2,redox sensitive trace elements,local,N/A,#N/A,dysoxic,2,#888B90,bottom,"Riboulleau et al., 2018",https://doi.org/10.1016/j.palaeo.2018.02.004,
"Tacheng Prefecture, Xinjiang",Central Asian Orogenic Belt ,Hongguleleng and Zhulumute Formations,41,46.662,85.966,51.2385,15.7236,51.2385,15.7236,LKW/UKW,siltstone/quartz siltstone-limestone alterations,ocean island arc ,siltstone,siltstone,open ocean,1,1.2,"(redox sensitive)elemental ratios, sedimentary facies, SEM/CL",local,dysoxic,2,anoxic,3,#5C5858,bottom,Carmichael et al 2004,https://doi.org/10.1016/j.palaeo.2014.02.016,
"North Antelope Range, Nevada, USA",Euramerica-North America,"Great Basin, ",42,38.847,-116.645,-57.3317,-20.5595,-57.3317,-20.5595,LKW/UKW,peloidal limestone/pebbly limetsonte,slope,limestone,limestone,proximal slope,3,3.2,sedimentary facies/pyrite framboids ,local,anoxic,3,anoxic,3,#5C5858,water column/bottom,"Bond and Wignall, 2005",,
"Tempiute Mountain, Nevada, USA",Euramerica-North America,Great Basin,43,37.647,-115.737,-58.3211,-19.3321,-58.3211,-19.3321,UKW,limestone ,slope/basin,N/A,limestone,distal slope,4,4.2,sedimentary facies/pyrite framboids ,local,N/A,#N/A,euxinic,4,black,water column/bottom,"Bond and Wignall, 2005",,
"Warm Springs, Nevada, USA",Euramerica-North America,"Great Basin, woodruff basin",44,38.193,-116.372,-57.7287,-21.1385,-57.7287,-21.1385,LKW/UKW,chert (LWK) siltstone (UKW),basin,chert,siltstone,basin,5,5.2,sedimentary facies/pyrite framboids ,local,anoxic,3,anoxic,3,#5C5858,water column/bottom,"Bond and Wignall, 2005",,
"Coyote Knolls section, Whiterock Canyon, Utah, USA",Euramerica-North America,"Great Basin, pilot basin",45,39.579,-113.525,-55.576,-19.4623,-55.576,-19.4623,LKW/UKW,siltstones/finely laminated shale,intrashelf basin,siltstone,limestone,basin,5,5.2,sedimentary facies/pyrite framboids ,local,anoxic,3,euxinic,4,black,water column/bottom,"Bond and Wignall, 2005",,
"Whiterock Canyon section, Monitor Range, Nevada, USA",Euramerica-North America,"Great Basin, woodruff basin",46,38.528,-117.06,-57.8145,-20.5089,-57.8145,-20.5089,LKW/UKW,siltstone(LWK)/chert (UKW),foreland basin,siltstone,chert,basin,5,5.2,sedimentary facies/pyrite framboids ,local,anoxic,3,anoxic,3,#5C5858,water column/bottom,"Bond and Wignall, 2005; Bratton 1999",,
"Price Creek, iowa co, iowa",Euramerica-North America,"Lime Creek Formation, Owen member, Iowa basin",47,41.811,-91.966,-37.6847,-30.1245,-37.6847,-30.1245,LKW,grey shale,shelf marin/ramp,grey shale,N/A,proximal slope,3,3.2,sedimentary facies,local,dysoxic,2,N/A,#N/A,white,bottom,Day and Witzke 2019,,
"Syv’yu River, Russian Urals ",Pechora Plate,Timan-Pechora,48,67.084,63.279,8.6393,11.7353,8.6393,11.7353,UKW,chery limestone/ black shale,intrashelf basin,limestone,dark shale,basin,5,5.2,"sedimentary facies, trace metal ratios",local,N/A,#N/A,anoxic,3,#5C5858,bottom,"Gharaie et al 2007, Racki et al 2018, Yudina et al., 2002",,
"Liujing section, Guangxi, China",South China,Gubi and Rongxian Formations,49,22.856,108.878,108.7307,1.478,108.7307,1.478,LKW/UKW,"micritic limetone/ wacketsone, flat pebble intraclast limestone",shallow shelf,limestone,limestone,platform,2,2.2,"sedimentary facies, trace metal ratios",local,N/A,#N/A,anoxia,#N/A,white,bottom,"Du et al., 2008, Gharaie et al., 2007, Gong et al., 2002",,
"Pando X-1 Core, Madre de Dios, Bolivia",Gondwana ,"Tomachi Formation, Madre de dios basin",50,-11.375,-68.274,-63.6633,-63.6071,-63.6633,-63.6071,UKW,deepening prodelta,shallowshelf,N/A,dark shale,platform,2,2.2,"biomarker (C28/C29 sterane ratios), d15N",local,N/A,#N/A,oxic,1,black,water column,"Haddad et al., 2016",https://doi.org/10.1016/j.orggeochem.2016.05.007,
Steinbruch Schmidt,Euramerica-Western Europe,"Branau, Germany",51,51.08,9.127,7.306,-18.9335,7.306,-18.9335,LKW/UKW,"below the wave base level and consists of dark grey to black limestones (KWH, Fig. 2) intercalated within grey cephalopod limestone; shallower than Benner",submarine rise,limestone,limestone,open ocean,1,1.2,"sedimentary facies, redox sensitive elements",local,dysoxic,2,dysoxic,2,#888B90,bottom,Pujol et al 2006,https://doi.org/10.1016/j.palaeo.2006.03.055,
"Mae Sarang section, northwestern Thailand",Inthanon Zone,,52,18.162,97.936,120.1037,-7.8796,120.1037,-7.8796,LKW/UKW,thin to medium bedded marlstone/dark limestone,pelagic facies,limestone,limestone,platform,2,2.2,"sedimentary facies, redox sensitive elements",local,oxic,1,dysoxic,2,#888B90,bottom,"Racki et al., 2019.",https://doi.org/10.1016/j.jaesx.2019.100010,
"Thong Pha Phum secton, Satun Province, Thailand",Gondwana ,,53,14.647,98.516,121.4772,-4.5923,121.4772,-4.5923,LKW/UKW,calcareous siltstone/medium bedded limestonr,dista shelf ->slope below photic zone,siltstone,limestone,distal slope,4,4.2,"sedimentary facies, trace elements",local,oxic,1,dysoxic,2,#888B90,bottom,"Racki et al., 2019.",,
"Moravo-Silesian Zone, Czech Republich",Euramerica-Western Europe,Lesní Iom section,54,49.227,16.673,27.5406,-19.4703,27.5406,-19.4703,LKW/UKW,,carbonate ramp,limestone,limestone,proximal slope,3,3.2,"sedimentary facies, trace elements",local,dysoxic,2,dysoxic,2,#888B90,bottom,"Weiner et al., 2017",,
"Fuhe, Guangxi, China",South China,Xiangtian Formation,55,25.088,111.283,107.0946,-1.1937,107.0946,-1.1937,LKW/UKW,,shallow shlef/slope,limestone,limestone,platform,2,2.2,"d34S, trace elements",local,dysoxia,#N/A,dysoxic,2,#888B90,bottom,Chen 2005,,
"Anadjam, Morocco",Gondwana ,Azrou-Kenifra Basin,56,33.042,-5.702,6.3769,-36.6943,6.3769,-36.6943,LKW/UKW,dark limestone,outer platform,limestone,limesteon,platform,2,2.2,"redox sensitive trace elements, sedimentary facies",local,dysoxic,2,dysoxic,2,#888B90,bottom,"Riquier et al. 2005,2007",,
Bou-Onunebdou,Gondwana ,Azrou-Kenifra Basin,57,33.059,-5.499,6.5816,-36.7423,6.5816,-36.7423,LKW/UKW,dark limestone,outer platform,limestone,limestone,platform,2,2.2,"redox sensitive trace elements, sedimentary facies",local,dysoxic,2,dysoxic,2,#888B90,bottom,"Riquier et al. 2005,2008",,
Pipe Creek formation,Euramerica,"five localities including Pipe Creek near West Falls, NY (WFPC) (Fig. 2), Irish Gulf near Boston, NY (IGPC) (Fig. 2), exposures near Cameron, NY (CAM) (Fig. 2) (Bush et al., 2015), Walnut Creek near Silver Creek, NY (WCL) (Fig.",58,42.705,-78.681,-26.6667,-33.1959,-26.6667,-33.1959,LKW,shale,foreland basin,black shale,N/A,basin,5,5.2,"redox sensitive trace leemnts, ichnotaxa, organic walled microfossisls",local,dysoxic,2,N/a,#N/A,white,bottom,Boyer 2021,,
"Southern Timan, SE Russia",Siberia,Timan-Pechora Basin,59,63.619,53.734,11.3004,7.1677,11.3004,7.1677,LKW,"argillacoeus limestone,reefcomplex",shallow intracratonic basin,limestone,N/A,basin,5,5.2,sedimentary facies,local,anoxic,3,N/A,#N/A,white,bottom,House 2000,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4537657,
"Chattanooga Shale, Tennessee",Euramerica,illinois basin,60,36.13,87.83,101.3032,-16.9808,101.3032,-16.9808,LKW/UKW,black shale,The Chattanooga Shale forms the distal part of a thick siliciclastic wedge that accumulated in the Appalachian foreland basin,black shale,black shale,basin,5,5.2,"Hg isotopes, biomarkers, redox sensitive trace metals",local,dysoxic,2,anoxic,3,#5C5858,water column/bottom,"Zheng 2023, Song et al., 2021",https://doi.org/10.1016/j.epsl.2023.118175,
"Xikuangshan, South China",South China,,61,27.766,111.498,107.5396,-3.8415,107.5396,-3.8415,UKW,mixed subtidal carbonate-argillacoes limestone facies,shallow marginal marine,N/A,limestone,platform,2,2.2,"sedimentary facies, iron speciation, sulfate isotope ratios",local,N/A,#N/A,euxinic,4,black,watercolumn/bottom,Cai 2022,https://doi.org/10.1093/pnasnexus/pgac122,
"Moravian Karst, Chezh Republic",Euramerica,"composite of Hady, Sumber, Lesni lom sections",62,49.301,16.711,27.5201,-19.3945,27.5201,-19.3945,LKW/UKW,pure limestones depostied on carbonate ramp,,limestone,limestone,proximal slope,3,3.2,"sedimentary facies, U/Th, [U], ",local,oxic,1,oxic,1,black,,Weiner 2017,,
