pO2_bg,PO4_bg,mscore_bg,State_bg,pCO2_bg,efolding (m)_bg,globe_avg_temp (C)_bg,dissolved_O2_sur (molkg-1x1E6)_bg,file_bg,benthic_anoxia_bg,pO2_ev,PO4_ev,mscore_ev,State_ev,pCO2_ev,efolding (m)_ev,globe_avg_temp (C)_ev,dissolved_O2_sur (molkg-1x1E6)_ev,file_ev,benthic_anoxia_ev,PO4_change,pO2_change,temp_change,benthic_anoxia_change,efolding_change,dissolved_O2_change (avg over top 500 m)
1,1,0.371971628,Background,2.5,1,21.46,87.83979865,251103.pO2PO4_55b.dat.20,2.75,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.2,-0.1,3.28,6.52,-0.25,36.13470471
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.5,0.646946866,Kellwasser,1,0.75,18.18,74.9922765,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.30,7.98,0.6,0.1,5.88,5.87,0,-128.5585167
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1.1,1.5,0.646946866,Kellwasser,1,0.75,18.18,74.9922765,Devon370Ma_075Remin_1pCO2.pO2PO4_55c.dat.30,7.98,0.6,0.1,5.88,5.87,0,-128.5585167
1.1,1,0.390493104,Background,5,0.75,24.06,77.53463433,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.30,2.29,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.2,-0.2,5.88,6.98,0,46.43986904
1,1.1,0.393150484,Background,2.5,1,21.46,107.1565566,251103.pO2PO4_55b.dat.21,3.94,0.9,1.2,0.707311062,Kellwasser,1,0.75,18.18,123.9745034,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.12,9.27,0.1,-0.1,3.28,5.33,-0.25,16.81794674
1.1,1,0.390493104,Background,5,0.75,24.06,77.53463433,Devon370Ma_075Remin_5pCO2.pO2PO4_55b.dat.30,2.29,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.5,-0.1,7,10.55,0.25,2.511573261
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.8,1.2,0.684237598,Kellwasser,1,0.75,18.18,118.3068962,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.02,12.57,0.3,-0.2,5.88,10.46,0,-85.24389705
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.8,1.1,0.684237598,Kellwasser,1,0.75,18.18,103.7711627,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.01,12.57,0.2,-0.2,5.88,10.46,0,-99.77963055
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.8,1.1,0.684237598,Kellwasser,1,0.75,18.18,103.7711627,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.01,12.57,0.2,-0.2,5.88,10.46,0,-99.77963055
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,0.8,1.2,0.684237598,Kellwasser,1,0.75,18.18,118.3068962,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.02,12.57,0.3,-0.2,5.88,10.46,0,-85.24389705
1,1.1,0.393150484,Background,2.5,1,21.46,107.1565566,251103.pO2PO4_55b.dat.21,3.94,1,1.5,0.576999912,Kellwasser,0.75,1,17.06,80.04620759,251025.pO2PO4_55c.dat.20,12.84,0.4,0,4.4,8.9,0,-27.11034903
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.3,0.679021468,Kellwasser,1,0.75,18.18,154.1479141,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.23,7.52,0.4,0,5.88,5.41,0,-49.40287909
1,0.9,0.427189722,Background,5,0.75,24.06,203.5507932,Devon370Ma_075Remin_5pCO2.pO2PO4_55a.dat.24,2.11,1,1.3,0.679021468,Kellwasser,1,0.75,18.18,154.1479141,Devon370Ma_075Remin_1pCO2.pO2PO4_55b.dat.23,7.52,0.4,0,5.88,5.41,0,-49.40287909
