,index,pO2_bg,PO4_bg,mscore_bg,State_bg,pCO2_bg,efolding (m)_bg,globe_avg_temp (C)_bg,dissolved_O2_sur (molkg-1x1E6)_bg,file_bg,benthic_anoxia_bg,pO2_ev,PO4_ev,mscore_ev,State_ev,pCO2_ev,efolding (m)_ev,globe_avg_temp (C)_ev,dissolved_O2_sur (molkg-1x1E6)_ev,file_ev,benthic_anoxia_ev,PO4_change,pO2_change,temp_change,benthic_anoxia_change,efolding_change,O2_change,rmse
131,130,0.9,0.8,0.414501043,Background,5.0,0.75,24.06,166.1389542,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.13,1.83,1.0,1.3,0.679021468,Kellwasser,1.0,0.75,18.18,154.1479141,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5b.dat.23,7.52,0.5,0.1,-5.88,5.69,0.0,-11.9910401,13.459541541357556
200,199,0.9,0.8,0.414501043,Background,5.0,0.75,24.06,166.1389542,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.13,1.83,1.0,1.3,0.679021468,Kellwasser,1.0,0.75,18.18,154.1479141,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5b.dat.23,7.52,0.5,0.1,-5.88,5.69,0.0,-11.9910401,13.459541541357556
454,453,1.1,1.1,0.355966851,Background,5.0,1.0,24.06,102.5284655,Devon370Ma_1xRemin_5xpCO2.pO2xPO4_5x5b.dat.31,3.67,1.1,1.6,0.5543525,Kellwasser,0.75,1.0,17.06,100.9647749,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.31,10.09,0.5,0.0,-7.0,6.42,0.0,-1.5636906,13.524704850980543
435,434,1.2,1.1,0.355242122,Background,5.0,1.0,24.06,109.5454572,Devon370Ma_1xRemin_5xpCO2.pO2xPO4_5x5b.dat.41,2.57,1.2,1.8,0.375039434,Kellwasser,1.0,0.75,18.18,133.0883533,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5c.dat.43,12.75,0.7,0.0,-5.88,10.18,-0.25,23.5428961,13.576496516293519
158,157,1.0,0.9,0.427189722,Background,5.0,0.75,24.06,203.5507932,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.24,2.11,1.1,1.6,0.521273485,Kellwasser,1.0,0.75,18.18,91.41401824,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5c.dat.31,12.2,0.7,0.1,-5.88,10.09,0.0,-112.136775,13.586023428344472
227,226,1.0,0.9,0.427189722,Background,5.0,0.75,24.06,203.5507932,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.24,2.11,1.1,1.6,0.521273485,Kellwasser,1.0,0.75,18.18,91.41401824,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5c.dat.31,12.2,0.7,0.1,-5.88,10.09,0.0,-112.136775,13.586023428344472
321,320,1.0,1.0,0.371971628,Background,2.5,1.0,21.46,87.83979865,251103.pO2xPO4_5x5b.dat.20,2.75,1.1,1.7,0.554011959,Kellwasser,0.75,1.0,17.06,120.2411222,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.32,13.67,0.7,0.1,-4.4,10.92,0.0,32.40132355,13.589313101358414
295,294,0.9,0.9,0.351258549,Background,2.5,1.0,21.46,217.7454153,251103.pO2xPO4_5x5a.dat.14,2.84,1.0,1.5,0.576999912,Kellwasser,0.75,1.0,17.06,80.04620759,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5c.dat.20,12.84,0.6,0.1,-4.4,10.0,0.0,-137.6992077,13.614609710473669
194,193,0.9,0.8,0.414501043,Background,5.0,0.75,24.06,166.1389542,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.13,1.83,0.9,1.4,0.394946273,Kellwasser,0.75,0.75,17.06,173.7303537,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5b.dat.14,11.47,0.6,0.0,-7.0,9.64,0.0,7.5913995,13.665279866008227
125,124,0.9,0.8,0.414501043,Background,5.0,0.75,24.06,166.1389542,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.13,1.83,0.9,1.4,0.394946273,Kellwasser,0.75,0.75,17.06,173.7303537,Devon370Ma_075xRemin_0.75xpCO2.pO2xPO4_5x5b.dat.14,11.47,0.6,0.0,-7.0,9.64,0.0,7.5913995,13.665279866008227
133,132,0.9,0.8,0.414501043,Background,5.0,0.75,24.06,166.1389542,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.13,1.83,1.0,1.4,0.642239103,Kellwasser,1.0,0.75,18.18,179.7021687,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5b.dat.24,11.1,0.6,0.1,-5.88,9.27,0.0,13.5632145,13.696149023204296
202,201,0.9,0.8,0.414501043,Background,5.0,0.75,24.06,166.1389542,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.13,1.83,1.0,1.4,0.642239103,Kellwasser,1.0,0.75,18.18,179.7021687,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5b.dat.24,11.1,0.6,0.1,-5.88,9.27,0.0,13.5632145,13.696149023204296
187,186,0.8,0.7,0.3879819,Background,5.0,0.75,24.06,130.5182668,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.02,1.83,0.9,1.3,0.503735592,Kellwasser,0.75,1.0,17.06,161.3606291,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5b.dat.13,11.56,0.6,0.1,-7.0,9.73,0.25,30.8423623,13.725215450460613
118,117,0.8,0.7,0.3879819,Background,5.0,0.75,24.06,130.5182668,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.02,1.83,0.9,1.3,0.503735592,Kellwasser,0.75,1.0,17.06,161.3606291,Devon370Ma_1xRemin_0.75xpCO2.pO2xPO4_5x5b.dat.13,11.56,0.6,0.1,-7.0,9.73,0.25,30.8423623,13.725215450460613
181,180,0.8,0.7,0.3879819,Background,5.0,0.75,24.06,130.5182668,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.02,1.83,0.9,1.2,0.707311062,Kellwasser,1.0,0.75,18.18,123.9745034,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5b.dat.12,9.27,0.5,0.1,-5.88,7.44,0.0,-6.5437634,13.755501008381698
112,111,0.8,0.7,0.3879819,Background,5.0,0.75,24.06,130.5182668,Devon370Ma_075xRemin_5xpCO2.pO2xPO4_5x5a.dat.02,1.83,0.9,1.2,0.707311062,Kellwasser,1.0,0.75,18.18,123.9745034,Devon370Ma_075xRemin_1xpCO2.pO2xPO4_5x5b.dat.12,9.27,0.5,0.1,-5.88,7.44,0.0,-6.5437634,13.755501008381698
